ID,Cantonese_Text,English_Text,Cantonese_Female_Sound,Cantonese_Male_Sound
slang_yue_𨳒你佬母,屌你佬母,“your mother” — 佬母 is a written variant of 老母,,
slang_yue_𨳒你個嘴,屌你個嘴,aimed at the mouth — i.e. shut up,,
slang_yue_𨳒你個閪,屌你個閪,as crude as the language gets short of a family curse,,
slang_yue_𨳒你全家,屌你全家,aimed at the whole household,,
slang_yue_𨳒你冚家剷,屌你冚家剷,both curses at once — about as far as it goes,,
slang_yue_𨳒你老豆,屌你老豆,aimed at the father rather than the mother,,
slang_yue_𨳒柒你,屌柒你,the same with 柒 wedged in for force,,
slang_yue_𨳒那媽,屌那媽,"to hell with it — sounds like a family curse, works as an oath",,
slang_yue_𨳒那星,屌那星,"bloody hell — an exclamation, not aimed at anyone",,
slang_yue_𨳒閪,屌閪,"to shag — the verb, crudely",,
slang_yue_𨳒鳩你,屌鳩你,and again with 鳩,,
slang_yue_閪,閪,the crudest word for female genitals,,
slang_yue_閪佬,閪佬,a contemptible man,,
slang_yue_閪哂,閪哂,"completely buggered — of a situation, not a person",,
slang_yue_閪樣,閪樣,“that face” — an insult about appearance and manner,,
slang_yue_閪毛,閪毛,pubic hair — used to mean “nothing at all”,,
slang_yue_閪窿,閪窿,"anatomical, and used as an insult",,
slang_yue_閹咗你,閹咗你,"I’ll have your bits off — a threat, usually theatrical",,
slang_yue_𨶙,撚,the swear syllable lan2 — the other spelling of 撚,,
slang_yue_𨶙樣,撚樣,the same insult aimed at the face,,
slang_yue_𨶙細,撚細,about size — a taunt between men,,
slang_yue_𨶙頭,撚頭,dickhead,,
slang_yue_雞,雞,"prostitute — the same character as “chicken”, context decides",,
slang_yue_雞屎忽,雞屎忽,a crude compound insult,,
slang_yue_食屎死啦,食屎死啦,eat shit and die,,
slang_yue_食屎狗,食屎狗,shit-eating dog,,
slang_yue_鳩,鳩,"a male-anatomy swear, used as an emphasis infix",,
slang_yue_鳩噏,鳩噏,to talk rubbish. Extremely common and not as heavy as it looks,,
slang_yue_鳩毛,鳩毛,"the male equivalent, same “nothing” sense",,
slang_yue_鹹濕閪婆,鹹濕閪婆,a stacked insult about a woman being lewd,,
slang_yue_麻𨶙煩,麻撚煩,a right pain — 麻煩 with the infix,,
slangp_yue_26,唔好玩喇，收皮啦。,"Stop messing about, pack it in.",,
slangp_yue_27,死開啦，唔好煩我。,Piss off and leave me alone.,,
slangp_yue_30,仆街，我唔記得咗帶。,Bugger — I forgot to bring it.,,
slangp_yue_31,哩個人真係廢柴。,This bloke is completely useless.,,
slangp_yue_34,部電話真係冇撚用。,This phone is bloody useless.,,
slangp_yue_35,好柒呀，唔好俾人見到。,That’s pathetic — don’t let anyone see.,,
slangp_yue_36,今日好撚煩。,Today has been bloody annoying.,,
slangp_yue_38,唔好惹我呀。,Don’t start with me.,,
slangp_yue_39,再講我打死你。,Say that again and I’ll batter you.,,
slangp_yue_46,部機真係冇撚用。,This machine is bloody useless. (STRONG),,
slangp_yue_47,你講乜鳩呀？,What the hell are you on about? (STRONG),,
slangp_yue_52,笑咩呀，八婆？,What are you laughing at? (STRONG),,
slangp_yue_53,二五仔喺邊度都冇朋友。,A grass has no friends anywhere.,,
slangp_yue_57,鳩噏，你根本冇去過。,Rubbish — you’ve never even been.,,
slangp_yue_58,唔好鳩噏喇，講事實。,Stop talking rubbish and give me the facts.,,
slangp_yue_59,今次真係閪哂。,This time it’s properly buggered.,,
slangp_yue_60,佢痴撚線㗎，唔好理佢。,He’s off his head — leave him. (STRONG),,
slangp_yue_61,乜撚嘢呀，做乜咁耐？,What the hell — why is this taking so long? (STRONG),,
slangp_yue_62,把撚啦，我唔信。,Like hell — I don’t believe you. (STRONG),,
slangp_yue_63,關你撚事呀？,None of your damn business. (STRONG),,
slangp_yue_64,有冇搞撚錯呀？,Are you having a laugh? (STRONG),,
slangp_yue_65,屌，有冇搞錯。,"F--- me, this is ridiculous. (STRONG)",,
slangp_yue_66,屌那星，又壞咗。,"Bloody hell, broken again. (STRONG)",,
slangp_yue_67,條友好撚鳩。,That bloke is a total prick. (STRONG),,
slangp_yue_68,我有我自由，理閪你感受。,I’ll do as I like — I don’t care how you feel. (STRONG),,
slangp_yue_70,有爺生冇乸教。,"“A father to bear you, no mother to raise you” — attacks the parents, not you. (STRONG)",,
slangp_yue_71,屌你冚家剷。,Two family curses at once — the top of the scale. (STRONG),,
slangp_yue_72,你老母臭閪。,"A mother-curse, stated flatly. (STRONG)",,
slangp_yue_73,你老母做雞。,Accuses the mother of prostitution. (STRONG),,
slangp_yue_74,去死啦，仆街。,"Drop dead, you bastard.",,
slangp_yue_75,想死呀？,You want a fight? — the line before it starts.,,
slangp_yue_76,未死過呀？,"Never had a hiding before? — same function, nastier.",,
slangp_yue_77,仆你個臭街。,"The expanded, angrier 仆街.",,
