ID,Cantonese_Text,English_Text,Cantonese_Female_Sound,Cantonese_Male_Sound
slangp_yue_20,邊個都得，我是但。,Either’s fine — I’m not fussed.,,
slangp_yue_21,仲有排先做完。,We’ve a long way to go yet.,,
slangp_yue_22,你黐咗線呀？,Are you out of your mind?,,
slangp_yue_23,咪搞我啦，我做緊嘢。,Leave me be — I’m working.,,
slangp_yue_24,唔關你事。,None of your business.,,
slangp_yue_25,收聲啦，聽人講嘢。,Shut up and listen to what’s being said.,,
slangp_yue_28,佢真係好蠢。,He really is thick.,,
slangp_yue_29,咪扮傻啦。,Don’t play dumb.,,
slangp_yue_3,噉點呀？做唔做？,So what now — are we doing it or not?,,
slangp_yue_32,呢度好臭，好核突。,It stinks in here — it’s disgusting.,,
slangp_yue_33,你講嘢好似放屁噉。,You’re talking out of your backside.,,
slangp_yue_37,你想點呀？,What’s your problem?,,
slangp_yue_4,點都好，我聽你講。,Either way — I’ll go with what you say.,,
slangp_yue_40,咪嘈啦，我聽緊電話。,"Keep it down, I’m on the phone.",,
slangp_yue_41,講咁多廢話做乜？,Why all the waffle?,,
slangp_yue_42,妖，又落雨。,Ugh — raining again.,,
slangp_yue_43,躝開啲啦，阻住晒。,"Shift over, you’re in the way.",,
slangp_yue_44,收檔啦，講唔掂㗎喇。,"Give it up, this isn’t going to work.",,
slangp_yue_45,關我鬼事，你自己搞掂。,Nothing to do with me — sort it yourself.,,
slangp_yue_48,你傻㗎，咁都信？,Are you mad — you believed that?,,
slangp_yue_49,佢又發神經喇。,He’s off on one again.,,
slangp_yue_5,今日好攰呀，頂唔順。,Knackered today — I’m done in.,,
slangp_yue_50,咪扮戇居居，我知你識。,"Stop playing dumb, I know you know.",,
slangp_yue_51,嗰條友真係冇家教。,That bloke was raised by nobody.,,
slangp_yue_6,搞掂晒，好正！,All done — brilliant!,,
slangp_yue_69,頂你個心肝脾肺腎。,"“Damn your heart, liver, spleen, lungs and kidneys” — absurd on purpose, so it lands light.",,
slangp_yue_7,弊喇，我唔記得咗。,Damn — I forgot.,,
slangp_yue_78,隻抽呀，唔好叫人。,One on one — don’t bring anyone else.,,
slangp_yue_79,噉點呀,so what now? where does that leave us?,,
slangp_yue_8,大鑊喇，我唔見咗個銀包。,Big trouble — I’ve lost my wallet.,,
slangp_yue_80,唔係啩,you’re kidding / no way,,
slangp_yue_81,頂你個肺,"“damn you” — a deliberately silly, softened curse",,
slangp_yue_82,唔好煩我,stop bothering me,,
slangp_yue_83,咪搞我,leave me alone,,
slangp_yue_84,唔關你事,none of your business,,
slangp_yue_89,想點呀,what’s your problem? — the line before a fight starts,,
slangp_yue_9,死啦，我遲到喇。,Oh no — I’m late.,,
slangp_yue_93,睇死你,I reckon you haven’t got it in you,,
slangp_yue_94,頂你,damn you — the clean short form of 頂你個肺,,
slangp_yue_95,關我鬼事,what’s that got to do with me?,,
slangp_yue_96,鬼理你,who cares about you,,
slangp_yue_97,你傻㗎,"are you mad? — rhetorical, not a question",,
