ID,Vietnamese_Text,English_Text,Vietnamese_Female_Sound,Vietnamese_Male_Sound
text_cf,cà phê,coffee — and “going for a coffee”,,
text_ok,được,"okay — also written oke, okii",,
text_tks,cảm ơn,thanks,,
text_sr,xin lỗi,sorry,,
text_bb,tạm biệt,bye,,
text_haha,haha,laughing — the plain one,,
text_hihi,hihi,"a small, shy or cheeky laugh",,
text_hehe,hehe,a sly or pleased laugh,,
text_:)),ha ha ha,"laughing hard. More brackets, more laughter: :)))) ",,
text_cmn,của mẹ nó,“bloody” — an intensifier wedged mid-sentence. VULGAR,,
text_vl,vãi lồn,“as hell” — goes on the end. VERY VULGAR,,
text_vcl,vãi cả lồn,stronger again than vl. VERY VULGAR,,
text_dm,địt mẹ,the standard typed curse. VERY VULGAR,,
textp_0,không được đâu,that won’t work,,
textp_1,tôi không biết,I don’t know,,
textp_2,không sao,it’s fine / no worries,,
textp_3,mày không đi à?,you’re not coming?,,
textp_4,không được,can’t / not allowed,,
textp_5,mai không rảnh,not free tomorrow,,
textp_6,anh không nhớ hả,you don’t remember?,,
textp_7,không phải,that’s not it,,
textp_8,em không hiểu,I don’t get it,,
textp_9,không có gì,you’re welcome / it’s nothing,,
textp_10,không đi được,can’t make it,,
textp_11,đi không?,coming?,,
textp_12,không chịu đâu,"no way, I’m not having that",,
textp_13,không biết nữa,"no idea, honestly",,
textp_14,em không rảnh,I’m not free,,
textp_15,được rồi,that’ll do / okay then,,
textp_16,mai được không?,is tomorrow okay?,,
textp_17,tôi làm được,I can do it,,
textp_18,được đó,"yeah, that works",,
textp_19,không được rồi,that’s not going to work now,,
textp_20,xong rồi,all done,,
textp_21,anh ăn cơm chưa? rồi,have you eaten? — yeah,,
textp_22,tôi về rồi,I’m home / I’ve left,,
textp_23,em biết rồi,I know already,,
textp_24,muộn rồi,it’s late,,
textp_25,ăn chưa?,eaten yet?,,
textp_26,tôi chưa làm,I haven’t done it,,
textp_27,xong chưa?,finished yet?,,
textp_28,chưa tới,not there yet,,
textp_29,làm gì đó?,what are you up to?,,
textp_30,có gì không?,anything up?,,
textp_31,ăn gì?,what shall we eat?,,
textp_32,sao vậy?,what’s up? / what’s wrong?,,
textp_33,vậy hả,"oh, is that right",,
textp_34,làm vậy làm gì,why do that?,,
textp_35,đi với tôi,come with me,,
textp_36,nói chuyện với anh,talk to you,,
textp_37,tôi cũng vậy,same here,,
textp_38,cũng được,that works too,,
textp_39,em cũng không biết,I don’t know either,,
textp_40,tôi đang bận,I’m busy right now,,
textp_41,đang đi rồi,on my way,,
textp_42,làm gì giờ này,what are you doing at this hour,,
textp_43,mai làm không?,working tomorrow?,,
textp_44,tôi biết rồi,I know,,
textp_45,phim đó bình thường thôi,that film was just okay,,
textp_46,ai biết,who knows,,
textp_47,em biết rồi,I know already,,
textp_48,đi luôn đi,let’s just go now,,
textp_49,không thấy luôn,couldn’t see a thing,,
textp_50,thêm một cái nữa,one more,,
textp_51,không đi nữa,not going any more,,
textp_52,làm như thế nào?,how do I do it?,,
textp_53,hôm qua như thế nào?,how did yesterday go?,,
textp_54,anh đi phải không?,"you’re going, right?",,
textp_55,vậy phải không,"that’s it, isn’t it",,
textp_56,ví dụ như hôm qua,"like yesterday, for instance",,
textp_57,"cà phê, trà sữa vân vân","coffee, bubble tea and so on",,
textp_58,ừ tôi biết rồi,"yeah, I know",,
textp_59,ừ đi đi,"yeah, off you go",,
textp_60,mày đâu rồi?,where are you?,,
textp_61,mình nghĩ vậy không,do you reckon so?,,
textp_62,tôi đi trước nha,I’m off first,,
textp_63,tao với mày,you and me,,
textp_64,mình không rảnh,I’m not free,,
textp_65,mình hỏi tí,quick question,,
textp_66,mình cũng đang đi,I’m on my way too,,
textp_67,bạn khoẻ không?,how are you?,,
textp_68,bạn ơi,hey / excuse me,,
textp_69,bao nhiêu tuổi rồi?,how old are you?,,
textp_70,bao nhiêu tiền vậy?,how much is it?,,
textp_71,bạn đi không?,are you coming?,,
textp_72,anh ơi,hey (to an older man),,
textp_73,anh đang ở đâu,where are you?,,
textp_74,em tới rồi anh,I’m here,,
textp_75,em ăn chưa?,have you eaten?,,
textp_76,anh em đi nhậu không,"lads, drinks?",,
textp_77,cảm ơn anh em,thanks lads,,
textp_78,chào mọi người,hi everyone,,
textp_79,mọi người đâu rồi,where is everybody?,,
textp_80,mọi người ơi giúp em với,can someone help me,,
textp_81,có người yêu chưa?,got a partner yet?,,
textp_82,đi với người yêu rồi,out with my other half,,
textp_83,người yêu cũ nhắn tin lại,my ex texted,,
textp_84,vợ ơi về ăn cơm,"love, come home for dinner",,
textp_85,chồng em đang làm,my husband is at work,,
textp_86,em chuyển khoản cho anh rồi nha,I’ve sent you the transfer,,
textp_87,nhắn tin cho tôi nha,text me,,
textp_88,nhắn tin hoài không trả lời,I keep texting and get nothing back,,
textp_89,sao không trả lời?,why aren’t you answering?,,
textp_90,trả lời giúp em với,please get back to me,,
textp_91,trả lời tôi đi,answer me,,
textp_92,nó không trả lời,he’s not replying,,
textp_93,nhắn riêng cho mình nha,DM me,,
textp_94,ai cần thì nhắn riêng,DM if you want one,,
textp_95,bình luận bên dưới nha,comment below,,
textp_96,kết bạn với tôi với,add me,,
textp_97,kết bạn với mình nha,let’s be friends,,
textp_98,không biết luôn á,no idea at all,,
textp_99,đổi ảnh đại diện rồi à,changed your profile pic?,,
textp_100,nói chuyện tí đi,let’s talk a minute,,
textp_101,không muốn nói chuyện,I don’t want to talk,,
textp_102,điện thoại hết pin rồi,my phone’s dead,,
textp_103,gọi điện thoại đi,just ring me,,
textp_104,ở trong nhà,inside the house,,
textp_105,em đang ở trường,I’m at school,,
textp_106,mai sinh nhật tôi,my birthday’s tomorrow,,
textp_107,chúc mừng sinh nhật nha,happy birthday,,
textp_108,ai quan tâm đâu,nobody cares,,
textp_109,cảm ơn anh đã quan tâm,thanks for caring,,
textp_110,cái này quan trọng lắm,this really matters,,
textp_111,không quan trọng đâu,it doesn’t matter,,
textp_112,bây giờ mấy giờ rồi?,what time is it?,,
textp_113,đi bây giờ luôn,let’s go right now,,
textp_114,hôm nay mày rảnh không,free today?,,
textp_115,hôm qua vui vậy,yesterday was fun,,
textp_116,thứ bảy này đi không?,up for Saturday?,,
textp_117,chủ nhật tôi bận rồi,I’m busy Sunday,,
textp_118,đi cà phê không?,fancy a coffee?,,
textp_119,ok luôn,"yep, done",,
textp_120,ok em nha,okay then,,
textp_121,cảm ơn anh nhiều,thanks a lot,,
textp_122,"xin lỗi em nha, tôi quên","sorry, I forgot",,
textp_123,tạm biệt mọi người nha,bye everyone,,
textp_124,haha đúng rồi,"haha, exactly",,
textp_125,em đùa thôi hihi,only joking,,
textp_126,tôi làm rồi hehe,already did it,,
textp_127,nghe xong tôi cười,I lost it when I heard,,
textp_128,vậy mà cũng tin,and you believed that,,
textp_129,mệt của mẹ nó rồi,I’m bloody knackered,,
textp_130,quên của mẹ nó mất,completely bloody forgot,,
textp_131,ngon vãi lồn,unbelievably good,,
textp_132,mệt vãi lồn,shattered,,
textp_133,hay vãi cả lồn,ridiculously good,,
textp_134,địt mẹ lại hỏng nữa,"for f---’s sake, broken again",,
textp_135,Bạn đang làm gì vậy? Sao chưa trả lời tin nhắn?,What are you doing? Why haven’t you replied?,,
textp_136,"Tôi đang đi rồi, mày chờ tí nha","I’m on my way, hang on a minute.",,
textp_137,Anh ăn cơm chưa? Em nấu rồi nè,Have you eaten? I’ve cooked.,,
textp_138,Hôm nay mày rảnh không? Đi cà phê với tôi,Free today? Come for a coffee with me.,,
textp_139,"Xin lỗi em nha, điện thoại anh hết pin luôn",Sorry — my phone died completely.,,
textp_140,"Mọi người ơi mai thứ bảy mình có sinh nhật, anh em tới không?","Everyone — it’s my birthday tomorrow, Saturday. Are you lot coming?",,
textp_141,"Cái này quan trọng lắm, mày nhớ trả lời tôi nha",This really matters — remember to get back to me.,,
textp_142,Bao nhiêu tiền vậy bạn? Mình chuyển khoản luôn cho nhanh,"How much is it? I’ll just transfer it, quicker that way.",,
textp_143,"Nó không trả lời tôi từ hôm qua, không biết bị gì",He hasn’t answered me since yesterday — no idea what’s up.,,
textp_144,"Mệt vãi lồn, làm cả ngày chưa nghỉ",Shattered — worked all day without a break. (VULGAR),,
textp_145,"Ừ tôi biết rồi, không sao đâu","Yeah I know, it’s fine.",,
textp_146,"Em nhắn riêng cho anh nha, đừng bình luận công khai",DM me — don’t comment publicly.,,
textp_147,"Kết bạn với mình với, mình kết bạn hết mọi người rồi",Add me — I’ve added everyone else already.,,
textp_148,"Anh đang ở trường, tí nữa anh nói chuyện với em",I’m at school — I’ll talk to you in a bit.,,
textp_149,"Người yêu tôi đổi ảnh đại diện rồi, nhìn được phết",My partner changed their profile pic — looks pretty good.,,
