language,number_value,number_category,target_form,english_meaning,number_system,variant,included_in_ranked_csv,main_rank,source_rank,surface_frequency,frequency_unit,numeral_specific_frequency,numeral_specific_unit,source_quality,source_id,frequency_interpretation,note
yue,9,basic,九,nine,standard,canonical,true,462,462,18,count,17,count,measured_spoken,hkcancor_spontaneous_conversation,Observed in the selected spontaneous-conversation transcripts; radio excluded.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
yue,10,basic,十,ten,standard,canonical,true,165,165,80,count,80,count,measured_spoken,hkcancor_spontaneous_conversation,Observed in the selected spontaneous-conversation transcripts; radio excluded.,
yue,100,scale,百,hundred,standard,canonical,true,517,517,16,count,16,count,measured_spoken,hkcancor_spontaneous_conversation,Observed in the selected spontaneous-conversation transcripts; radio excluded.,
yue,1000,scale,千,thousand,standard,canonical,true,654,654,11,count,11,count,measured_spoken,hkcancor_spontaneous_conversation,Observed in the selected spontaneous-conversation transcripts; radio excluded.,
yue,10000,scale,萬,ten thousand,standard,canonical,true,1071,1071,6,count,6,count,measured_spoken,hkcancor_spontaneous_conversation,Observed in the selected spontaneous-conversation transcripts; radio excluded.,
yue,100000000,scale,億,hundred million,standard,canonical,false,,,,count,,,measured_spoken,hkcancor_spontaneous_conversation,Observed in the selected spontaneous-conversation transcripts; radio excluded.,Not listed or observed in the retained source; frequency unavailable.
ja,0,basic,零,zero,standard,canonical,true,1870,1872,48,count,48,count,measured_spoken,cejc_202209,Observed in CEJC everyday conversation.,
ja,0,basic,ゼロ,zero,loanword,common loanword,true,603,603,197,count,197,count,measured_spoken,cejc_202209,Observed in CEJC everyday conversation.,
ja,1,basic,一,one,standard,canonical,true,49,49,7391,count,7391,count,measured_spoken,cejc_202209,Observed in CEJC everyday conversation.,
ja,2,basic,二,two,standard,canonical,true,69,69,4473,count,4473,count,measured_spoken,cejc_202209,Observed in CEJC everyday conversation.,
ja,3,basic,三,three,standard,canonical,true,90,90,3259,count,3259,count,measured_spoken,cejc_202209,Observed in CEJC everyday conversation.,
ja,4,basic,四,four,standard,canonical,true,132,132,2021,count,2021,count,measured_spoken,cejc_202209,Observed in CEJC everyday conversation.,
ja,5,basic,五,five,standard,canonical,true,133,133,2004,count,2004,count,measured_spoken,cejc_202209,Observed in CEJC everyday conversation.,
ja,6,basic,六,six,standard,canonical,true,176,176,1232,count,1232,count,measured_spoken,cejc_202209,Observed in CEJC everyday conversation.,
ja,7,basic,七,seven,standard,canonical,true,203,203,1001,count,1001,count,measured_spoken,cejc_202209,Observed in CEJC everyday conversation.,
ja,8,basic,八,eight,standard,canonical,true,183,183,1132,count,1132,count,measured_spoken,cejc_202209,Observed in CEJC everyday conversation.,
ja,9,basic,九,nine,standard,canonical,true,194,194,1055,count,1055,count,measured_spoken,cejc_202209,Observed in CEJC everyday conversation.,
ja,10,basic,十,ten,standard,canonical,true,85,85,3456,count,3456,count,measured_spoken,cejc_202209,Observed in CEJC everyday conversation.,
ja,100,scale,百,hundred,standard,canonical,true,201,201,1008,count,1008,count,measured_spoken,cejc_202209,Observed in CEJC everyday conversation.,
ja,1000,scale,千,thousand,standard,canonical,true,366,366,391,count,391,count,measured_spoken,cejc_202209,Observed in CEJC everyday conversation.,
ja,10000,scale,万,ten thousand,standard,canonical,true,208,208,974,count,974,count,measured_spoken,cejc_202209,Observed in CEJC everyday conversation.,
ja,100000000,scale,億,hundred million,standard,canonical,true,1596,1597,57,count,57,count,measured_spoken,cejc_202209,Observed in CEJC everyday conversation.,
es,0,basic,cero,zero,standard,canonical,true,376,376,35,count,,,measured_spoken,corlec_nonbroadcast_conversation,Observed surface form in selected non-broadcast CORLEC conversations.,
es,1,basic,uno,one,standard,canonical,true,99,99,213,count,,,measured_spoken,corlec_nonbroadcast_conversation,Observed surface form in selected non-broadcast CORLEC conversations.,
es,2,basic,dos,two,standard,canonical,true,57,57,403,count,,,measured_spoken,corlec_nonbroadcast_conversation,Observed surface form in selected non-broadcast CORLEC conversations.,
es,3,basic,tres,three,standard,canonical,true,98,98,215,count,,,measured_spoken,corlec_nonbroadcast_conversation,Observed surface form in selected non-broadcast CORLEC conversations.,
es,4,basic,cuatro,four,standard,canonical,true,167,167,100,count,,,measured_spoken,corlec_nonbroadcast_conversation,Observed surface form in selected non-broadcast CORLEC conversations.,
es,5,basic,cinco,five,standard,canonical,true,181,181,92,count,,,measured_spoken,corlec_nonbroadcast_conversation,Observed surface form in selected non-broadcast CORLEC conversations.,
es,6,basic,seis,six,standard,canonical,true,230,230,68,count,,,measured_spoken,corlec_nonbroadcast_conversation,Observed surface form in selected non-broadcast CORLEC conversations.,
es,7,basic,siete,seven,standard,canonical,true,289,289,51,count,,,measured_spoken,corlec_nonbroadcast_conversation,Observed surface form in selected non-broadcast CORLEC conversations.,
es,8,basic,ocho,eight,standard,canonical,true,196,196,83,count,,,measured_spoken,corlec_nonbroadcast_conversation,Observed surface form in selected non-broadcast CORLEC conversations.,
es,9,basic,nueve,nine,standard,canonical,true,365,365,37,count,,,measured_spoken,corlec_nonbroadcast_conversation,Observed surface form in selected non-broadcast CORLEC conversations.,
es,10,basic,diez,ten,standard,canonical,true,195,195,83,count,,,measured_spoken,corlec_nonbroadcast_conversation,Observed surface form in selected non-broadcast CORLEC conversations.,
es,100,scale,cien,hundred,standard,canonical,true,534,534,23,count,,,measured_spoken,corlec_nonbroadcast_conversation,Observed surface form in selected non-broadcast CORLEC conversations.,
es,100,scale,ciento,hundred,standard,compound form,true,484,484,26,count,,,measured_spoken,corlec_nonbroadcast_conversation,Observed surface form in selected non-broadcast CORLEC conversations.,
es,1000,scale,mil,thousand,standard,canonical,true,106,106,195,count,,,measured_spoken,corlec_nonbroadcast_conversation,Observed surface form in selected non-broadcast CORLEC conversations.,
es,1000000,scale,millón,million,standard,canonical,false,,8864,1,count,,,measured_spoken,corlec_nonbroadcast_conversation,Observed surface form in selected non-broadcast CORLEC conversations.,Attested in the source but outside the main ranked CSV cutoff/filter.
es,1000000,scale,millones,millions,standard,plural,true,489,489,26,count,,,measured_spoken,corlec_nonbroadcast_conversation,Observed surface form in selected non-broadcast CORLEC conversations.,
en,0,basic,zero,zero,standard,canonical,true,1760,1761,33,per_million_rounded,22,per_million_rounded,measured_spoken,bnc_spoken_wfwse_2_2,Published rounded frequency per million in the BNC spoken component.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
en,0,basic,oh,zero,standard,spoken digit-name variant,true,35,35,5052,per_million_rounded,,,measured_spoken,bnc_spoken_wfwse_2_2,Published rounded frequency per million in the BNC spoken component.,
en,1,basic,one,one,standard,canonical,true,30,30,5566,per_million_rounded,3034,per_million_rounded,measured_spoken,bnc_spoken_wfwse_2_2,Published rounded frequency per million in the BNC spoken component.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
en,2,basic,two,two,standard,canonical,true,69,69,2710,per_million_rounded,2710,per_million_rounded,measured_spoken,bnc_spoken_wfwse_2_2,Published rounded frequency per million in the BNC spoken component.,
en,3,basic,three,three,standard,canonical,true,96,96,1721,per_million_rounded,1721,per_million_rounded,measured_spoken,bnc_spoken_wfwse_2_2,Published rounded frequency per million in the BNC spoken component.,
en,4,basic,four,four,standard,canonical,true,122,122,1199,per_million_rounded,1199,per_million_rounded,measured_spoken,bnc_spoken_wfwse_2_2,Published rounded frequency per million in the BNC spoken component.,
en,5,basic,five,five,standard,canonical,true,115,115,1308,per_million_rounded,1308,per_million_rounded,measured_spoken,bnc_spoken_wfwse_2_2,Published rounded frequency per million in the BNC spoken component.,
en,6,basic,six,six,standard,canonical,true,148,148,863,per_million_rounded,863,per_million_rounded,measured_spoken,bnc_spoken_wfwse_2_2,Published rounded frequency per million in the BNC spoken component.,
en,7,basic,seven,seven,standard,canonical,true,194,194,565,per_million_rounded,565,per_million_rounded,measured_spoken,bnc_spoken_wfwse_2_2,Published rounded frequency per million in the BNC spoken component.,
en,8,basic,eight,eight,standard,canonical,true,181,181,606,per_million_rounded,606,per_million_rounded,measured_spoken,bnc_spoken_wfwse_2_2,Published rounded frequency per million in the BNC spoken component.,
en,9,basic,nine,nine,standard,canonical,true,191,191,571,per_million_rounded,571,per_million_rounded,measured_spoken,bnc_spoken_wfwse_2_2,Published rounded frequency per million in the BNC spoken component.,
en,10,basic,ten,ten,standard,canonical,true,180,180,616,per_million_rounded,616,per_million_rounded,measured_spoken,bnc_spoken_wfwse_2_2,Published rounded frequency per million in the BNC spoken component.,
en,100,scale,hundred,hundred,standard,canonical,true,135,135,1023,per_million_rounded,,,measured_spoken,bnc_spoken_wfwse_2_2,Published rounded frequency per million in the BNC spoken component.,
en,1000,scale,thousand,thousand,standard,canonical,true,210,210,516,per_million_rounded,,,measured_spoken,bnc_spoken_wfwse_2_2,Published rounded frequency per million in the BNC spoken component.,
en,1000000,scale,million,million,standard,canonical,true,517,517,157,per_million_rounded,,,measured_spoken,bnc_spoken_wfwse_2_2,Published rounded frequency per million in the BNC spoken component.,
en,1000000000,scale,billion,billion,standard,canonical,true,3235,3236,13,per_million_rounded,,,measured_spoken,bnc_spoken_wfwse_2_2,Published rounded frequency per million in the BNC spoken component.,
th,0,basic,ศูนย์,zero,standard,canonical,true,1434,1434,3323,count,,,media_proxy,orgtre_opensubtitles2018_th,OpenSubtitles-derived count; not an actual-speech frequency.,
th,1,basic,หนึ่ง,one,standard,canonical,true,184,184,39328,count,,,media_proxy,orgtre_opensubtitles2018_th,OpenSubtitles-derived count; not an actual-speech frequency.,
th,2,basic,สอง,two,standard,canonical,true,171,171,42090,count,,,media_proxy,orgtre_opensubtitles2018_th,OpenSubtitles-derived count; not an actual-speech frequency.,
th,3,basic,สาม,three,standard,canonical,true,358,358,18474,count,,,media_proxy,orgtre_opensubtitles2018_th,OpenSubtitles-derived count; not an actual-speech frequency.,
th,4,basic,สี่,four,standard,canonical,true,898,898,5905,count,,,media_proxy,orgtre_opensubtitles2018_th,OpenSubtitles-derived count; not an actual-speech frequency.,
th,5,basic,ห้า,five,standard,canonical,true,848,848,6370,count,,,media_proxy,orgtre_opensubtitles2018_th,OpenSubtitles-derived count; not an actual-speech frequency.,
th,6,basic,หก,six,standard,canonical,true,1241,1241,3978,count,,,media_proxy,orgtre_opensubtitles2018_th,OpenSubtitles-derived count; not an actual-speech frequency.,
th,7,basic,เจ็ด,seven,standard,canonical,true,1831,1831,2410,count,,,media_proxy,orgtre_opensubtitles2018_th,OpenSubtitles-derived count; not an actual-speech frequency.,
th,8,basic,แปด,eight,standard,canonical,true,2114,2114,1966,count,,,media_proxy,orgtre_opensubtitles2018_th,OpenSubtitles-derived count; not an actual-speech frequency.,
th,9,basic,เก้า,nine,standard,canonical,true,2400,2400,1599,count,,,media_proxy,orgtre_opensubtitles2018_th,OpenSubtitles-derived count; not an actual-speech frequency.,
th,10,basic,สิบ,ten,standard,canonical,true,1017,1017,5161,count,,,media_proxy,orgtre_opensubtitles2018_th,OpenSubtitles-derived count; not an actual-speech frequency.,
th,100,scale,ร้อย,hundred,standard,canonical,true,1203,1203,4183,count,,,media_proxy,orgtre_opensubtitles2018_th,OpenSubtitles-derived count; not an actual-speech frequency.,
th,1000,scale,พัน,thousand,standard,canonical,true,914,914,5805,count,,,media_proxy,orgtre_opensubtitles2018_th,OpenSubtitles-derived count; not an actual-speech frequency.,
th,10000,scale,หมื่น,ten thousand,standard,canonical,true,2026,2026,2090,count,,,media_proxy,orgtre_opensubtitles2018_th,OpenSubtitles-derived count; not an actual-speech frequency.,
th,100000,scale,แสน,hundred thousand,standard,canonical,true,864,864,6159,count,,,media_proxy,orgtre_opensubtitles2018_th,OpenSubtitles-derived count; not an actual-speech frequency.,
th,1000000,scale,ล้าน,million,standard,canonical,true,583,583,10526,count,,,media_proxy,orgtre_opensubtitles2018_th,OpenSubtitles-derived count; not an actual-speech frequency.,
ko,0,basic,영,zero,Sino-Korean,canonical,true,1341,1341,3311,count,1124,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,0,basic,공,zero; oh,Sino-Korean,digit-reading variant,true,452,452,11536,count,3,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,1,basic,하나,one,native Korean,canonical,true,89,89,69366,count,69353,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,2,basic,둘,two,native Korean,canonical,true,309,309,18218,count,18217,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,3,basic,셋,three,native Korean,canonical,true,1134,1134,4100,count,4099,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,4,basic,넷,four,native Korean,canonical,true,2727,2727,1351,count,1351,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,
ko,5,basic,다섯,five,native Korean,canonical,true,568,568,9123,count,8598,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,6,basic,여섯,six,native Korean,canonical,true,745,745,6771,count,6199,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,7,basic,일곱,seven,native Korean,canonical,true,886,886,5426,count,5400,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,8,basic,여덟,eight,native Korean,canonical,true,945,945,5128,count,5068,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,9,basic,아홉,nine,native Korean,canonical,true,994,994,4825,count,4816,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,10,basic,열,ten,native Korean,canonical,true,206,206,30035,count,14662,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,1,basic,일,one,Sino-Korean,canonical,true,50,50,123768,count,34265,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,2,basic,이,two,Sino-Korean,canonical,true,1,1,1745337,count,16626,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,3,basic,삼,three,Sino-Korean,canonical,true,218,218,26852,count,23996,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,4,basic,사,four,Sino-Korean,canonical,true,53,53,118831,count,8029,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,5,basic,오,five,Sino-Korean,canonical,true,23,23,239665,count,16056,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,6,basic,육,six,Sino-Korean,canonical,true,650,650,8072,count,7437,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,7,basic,칠,seven,Sino-Korean,canonical,true,1169,1169,3947,count,3768,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,8,basic,팔,eight,Sino-Korean,canonical,true,192,192,32265,count,4060,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,9,basic,구,nine,Sino-Korean,canonical,true,1323,1323,3372,count,2540,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,10,basic,십,ten,Sino-Korean,canonical,true,265,265,21642,count,21276,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,100,scale,백,hundred,Sino-Korean,canonical,true,378,378,13933,count,12818,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,1000,scale,천,thousand,Sino-Korean,canonical,true,671,671,7687,count,7045,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,10000,scale,만,ten thousand,Sino-Korean,canonical,true,283,283,19907,count,5818,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
ko,100000000,scale,억,hundred million,Sino-Korean,canonical,true,3581,3581,892,count,718,count,measured_spoken,kofren_all_speakers,Observed in KoFREN spontaneous speech. Use numeral_specific_frequency for the NR sense.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
tl,0,basic,sero,zero,standard,canonical,false,,,,count,,,media_proxy,frequencywords_2018_tl,Small OpenSubtitles count; not an actual-speech frequency.,Not listed or observed in the retained source; frequency unavailable.
tl,0,basic,zero,zero,English borrowing,borrowed form,true,2404,2404,4,count,,,media_proxy,frequencywords_2018_tl,Small OpenSubtitles count; not an actual-speech frequency.,
tl,1,basic,isa,one,standard,canonical,true,61,61,219,count,,,media_proxy,frequencywords_2018_tl,Small OpenSubtitles count; not an actual-speech frequency.,
tl,2,basic,dalawa,two,standard,canonical,true,202,202,57,count,,,media_proxy,frequencywords_2018_tl,Small OpenSubtitles count; not an actual-speech frequency.,
tl,3,basic,tatlo,three,standard,canonical,true,831,831,12,count,,,media_proxy,frequencywords_2018_tl,Small OpenSubtitles count; not an actual-speech frequency.,
tl,4,basic,apat,four,standard,canonical,true,840,840,11,count,,,media_proxy,frequencywords_2018_tl,Small OpenSubtitles count; not an actual-speech frequency.,
tl,5,basic,lima,five,standard,canonical,true,2143,2143,4,count,,,media_proxy,frequencywords_2018_tl,Small OpenSubtitles count; not an actual-speech frequency.,
