ID,Japanese_Text,English_Text,Japanese_Female_Sound,Japanese_Male_Sound
lesson_ja_l4_v9,ほど,to the extent of; about,,
lesson_ja_l4_v10,言葉,a word; language,,
lesson_ja_l4_v11,らしい,apparently; seems (from hearsay),,
lesson_ja_l4_v12,など,"and so on, and the like",,
lesson_ja_l4_v13,ただ,"only, merely; free of charge",,
lesson_ja_l4_v14,違う,to differ; that’s wrong,,
lesson_ja_l4_v15,使う,to use,,
lesson_ja_l4_v16,少し,"a little, a few",,
lesson_ja_l4_v17,時,time; when,,
lesson_ja_l4_d0,今日、あの人来ないらしいよ。,Apparently he’s not coming today.,,
lesson_ja_l4_d1,本当？誰から聞いた？,Really? Who’d you hear that from?,,
lesson_ja_l4_d2,ただの噂だけどね。,"It’s only a rumour, mind.",,
lesson_ja_l4_d3,それ、違う人の話じゃない？,Isn’t that about someone else?,,
lesson_ja_l5_0,悪い、時間なかった。,My bad — I didn’t have time.,,
lesson_ja_l5_1,部屋、そのままにしといて。,Leave the room as it is.,,
lesson_ja_l5_2,これ、家で作ったんだ。,I made this at home.,,
lesson_ja_l5_3,ゴミ、もう出した？,Have you put the rubbish out yet?,,
lesson_ja_l5_v0,家,"a house, home",,
lesson_ja_l5_v1,あれ,that over there,,
lesson_ja_l5_v2,彼,he; boyfriend,,
lesson_ja_l5_v3,よい,good — いい in speech,,
lesson_ja_l5_v4,人間,a human being,,
lesson_ja_l5_v5,同じ,the same,,
lesson_ja_l5_v6,上,"above, on top of",,
lesson_ja_l5_v7,よく,well; often,,
lesson_ja_l5_v8,よう,appearance; way of doing,,
lesson_ja_l5_v9,出す,"to take out, to put out, to send",,
lesson_ja_l5_v10,どこ,where,,
lesson_ja_l5_v11,悪い,"bad; my bad, sorry",,
lesson_ja_l5_v12,時間,time; an hour,,
lesson_ja_l5_v13,部屋,a room,,
lesson_ja_l5_v14,わけ,reason; it’s not that…,,
lesson_ja_l5_v15,おく,to put; to do in advance,,
lesson_ja_l5_v16,作る,to make,,
lesson_ja_l5_v17,まま,"as it is, unchanged",,
lesson_ja_l5_d0,彼の家、行ったことある？,Have you been to his place?,,
lesson_ja_l5_d1,ある。部屋がすごく上まで片付いてた。,Yeah. The room was tidy right up to the ceiling.,,
lesson_ja_l5_d2,同じ人とは思えないな。,Doesn’t seem like the same bloke.,,
lesson_ja_l5_d3,時間があったわけじゃないと思うけど。,"It’s not that he had time, I reckon.",,
lesson_ja_l6_0,また今度、一緒に行こう。,Let’s go together another time.,,
lesson_ja_l6_1,頭が痛いから、もう帰る。,"I’ve got a headache, so I’m off home.",,
lesson_ja_l6_2,いつもこうなんだよ。,It’s always like this.,,
lesson_ja_l6_3,着いたばかりで、まだ何も見てない。,I’ve only just got here — haven’t seen anything yet.,,
lesson_ja_l6_v0,早い,early; quick,,
lesson_ja_l6_v1,感じる,"to feel, to sense",,
lesson_ja_l6_v2,呼ぶ,"to call, to call out to",,
lesson_ja_l6_v3,話す,"to speak, to talk",,
lesson_ja_l6_v4,何か,something; somehow,,
lesson_ja_l6_v5,死ぬ,to die,,
lesson_ja_l6_v6,姿,"figure, appearance",,
lesson_ja_l6_v7,頭,head,,
lesson_ja_l6_v8,強い,strong,,
lesson_ja_l6_v9,こう,like this,,
lesson_ja_l6_v10,いつも,"always, as usual",,
lesson_ja_l6_v11,会う,"to meet, to see (a person)",,
lesson_ja_l6_v12,ばかり,nothing but; only just,,
lesson_ja_l6_v13,一緒に,together,,
lesson_ja_l6_v14,好き,"liked, favourite",,
lesson_ja_l6_v15,相手,"the other person, a partner",,
lesson_ja_l6_v16,帰る,"to go home, to return",,
lesson_ja_l6_v17,みんな,everyone,,
lesson_ja_l6_d0,みんなで一緒に帰る？,Shall we all head back together?,,
lesson_ja_l6_d1,いいね。でも今日は早いんだ。,Sounds good. But I’m off early today.,,
lesson_ja_l6_d2,じゃあ、また今度会おう。,Right — let’s meet up another time then.,,
lesson_ja_l6_d3,うん。着いたら呼んで。,Yeah. Give me a shout when you get there.,,
lesson_ja_l7_0,もっと食べる？まだあるよ。,Want more? There’s still some.,,
lesson_ja_l7_1,この場所、ずっと前から好き。,I’ve loved this place for ages.,,
lesson_ja_l7_2,それ、必要ないと思う。,I don’t think that’s needed.,,
lesson_ja_l7_3,仕事のあと、戻ってくるね。,I’ll come back after work.,,
lesson_ja_l7_v0,音,"a sound, a noise",,
lesson_ja_l7_v1,うち,inside; while (something lasts),,
lesson_ja_l7_v2,ずっと,all along; far more,,
lesson_ja_l7_v3,食べる,to eat,,
lesson_ja_l7_v4,場所,"a place, a spot",,
lesson_ja_l7_v5,あと,after; the rest,,
lesson_ja_l7_v6,どうして,"why, how come",,
lesson_ja_l7_v7,もっと,more,,
lesson_ja_l7_v8,世界,the world,,
lesson_ja_l7_v9,あげる,to give (outward); to raise,,
lesson_ja_l7_v10,戻る,"to go back, to return",,
lesson_ja_l7_v11,力,"strength, power",,
lesson_ja_l7_v12,仕事,"work, a job",,
lesson_ja_l7_v13,必要,necessary,,
lesson_ja_l7_v14,続ける,"to keep doing, to continue",,
lesson_ja_l7_v15,つもり,"intention, plan",,
lesson_ja_l7_v16,どんな,what kind of,,
lesson_ja_l7_v17,誰,who,,
lesson_ja_l7_d0,仕事、まだ続けるつもり？,You still planning to stay in that job?,,
lesson_ja_l7_d1,うん。もっと力つけたいし。,"Yeah. I want to get better at it, for one.",,
lesson_ja_l7_d2,どうして？誰かに言われた？,How come? Did someone say something?,,
lesson_ja_l7_d3,違う。自分でそう思っただけ。,No. I just decided it myself.,,
lesson_ja_l8_0,ちょっとこれ見せて。,Let me see that a sec.,,
lesson_ja_l8_1,あとで電話かけるね。,I’ll ring you later.,,
lesson_ja_l8_2,そろそろ始めるよ。,We’re starting soon.,,
lesson_ja_l8_3,気持ちはわかるけど、無理だよ。,"I get how you feel, but it’s not on.",,
lesson_ja_l8_v0,による,depending on; caused by,,
lesson_ja_l8_v1,次,next,,
lesson_ja_l8_v2,かける,to hang; to call (phone); to pour on,,
lesson_ja_l8_v3,見せる,to show,,
lesson_ja_l8_v4,動く,to move,,
lesson_ja_l8_v5,となる,"to become, to end up as",,
lesson_ja_l8_v6,はず,"ought to be, supposed to be",,
lesson_ja_l8_v7,子,a child; a kid,,
lesson_ja_l8_v8,歩く,to walk,,
lesson_ja_l8_v9,こちら,this way; this one; me,,
lesson_ja_l8_v10,きっと,"surely, I bet",,
lesson_ja_l8_v11,意味,meaning,,
lesson_ja_l8_v12,終わる,"to end, to finish",,
lesson_ja_l8_v13,変わる,to change (by itself),,
lesson_ja_l8_v14,すぐに,right away,,
lesson_ja_l8_v15,気持ち,"a feeling, a mood",,
lesson_ja_l8_v16,始める,to start (something),,
lesson_ja_l8_v17,大きい,big,,
lesson_ja_l8_d0,次のバス、すぐに来るはずだよ。,The next bus should be here any minute.,,
lesson_ja_l8_d1,さっきから何も動いてないけど。,"Nothing’s moved for a while, though.",,
lesson_ja_l8_d2,きっと終わったら変わるよ。,"It’ll change once that lot finishes, I bet.",,
lesson_ja_l8_d3,その言い方、意味わかんない。,I have no idea what you mean by that.,,
lesson_ja_l9_0,名前、なんて言うの？,What’s your name?,,
lesson_ja_l9_1,心配しないで。大丈夫だから。,Don’t worry. It’ll be fine.,,
lesson_ja_l9_2,その日、外にいたと思う。,I think I was outside that day.,,
lesson_ja_l9_3,もうやめる。疲れた。,I’m stopping. I’m knackered.,,
lesson_ja_l9_v0,ことになる,it has been decided that,,
lesson_ja_l9_v1,向かう,to head towards; to face,,
lesson_ja_l9_v2,受ける,to receive; to take (a test),,
lesson_ja_l9_v3,日,a day; the sun,,
lesson_ja_l9_v4,年,a year,,
lesson_ja_l9_v5,心配,"worry, concern",,
lesson_ja_l9_v6,教える,to teach; to tell,,
lesson_ja_l9_v7,心,"heart, mind",,
lesson_ja_l9_v8,立つ,"to stand, to stand up",,
lesson_ja_l9_v9,おる,to be — humble/dialect いる,,
lesson_ja_l9_v10,やめる,"to quit, to stop doing",,
lesson_ja_l9_v11,外,outside,,
lesson_ja_l9_v12,間,between; the interval,,
lesson_ja_l9_v13,様子,"the look of things, a state",,
lesson_ja_l9_v14,忘れる,to forget; to leave behind,,
lesson_ja_l9_v15,口,mouth; an opening,,
lesson_ja_l9_v16,名前,a name,,
lesson_ja_l9_v17,大きな,big — only before a noun,,
lesson_ja_l9_d0,名前、忘れちゃった。ごめん。,I’ve forgotten your name. Sorry.,,
lesson_ja_l9_d1,心配しないで。よくあること。,Don’t worry about it. Happens all the time.,,
lesson_ja_l9_d2,外で立ってないで、入りなよ。,Don’t stand about outside — come in.,,
lesson_ja_l9_d3,いや、すぐ向かうところだから。,"Nah, I’m just about to head off.",,
lesson_ja_l10_0,初めて食べたけど、うまい。,First time I’ve had this — it’s good.,,
lesson_ja_l10_1,理由は言いたくない。,I don’t want to say why.,,
lesson_ja_l10_2,それ、絶対無理だって。,That’s absolutely not happening.,,
lesson_ja_l10_3,また今度ね。,"Another time, then.",,
lesson_ja_l10_v0,信じる,"to believe, to trust",,
lesson_ja_l10_v1,すぎる,to pass; to be too much,,
lesson_ja_l10_v2,生きる,"to live, to be alive",,
lesson_ja_l10_v3,問題,a problem; a question,,
lesson_ja_l10_v4,理由,a reason,,
lesson_ja_l10_v5,これから,from now on,,
lesson_ja_l10_v6,以上,and above; that’s all,,
lesson_ja_l10_v7,逃げる,"to run away, to escape",,
lesson_ja_l10_v8,多い,"many, a lot of",,
lesson_ja_l10_v9,そういう,that sort of,,
lesson_ja_l10_v10,絶対,"definitely, absolutely",,
lesson_ja_l10_v11,開く,to open (out),,
lesson_ja_l10_v12,今度,this time; next time,,
lesson_ja_l10_v13,最後,"the last, the end",,
lesson_ja_l10_v14,最初,"the first, the beginning",,
lesson_ja_l10_v15,存在,"existence, a presence",,
lesson_ja_l10_v16,誰か,someone,,
lesson_ja_l10_v17,初めて,for the first time,,
lesson_ja_l10_d0,今度が初めて？,Is this your first time?,,
lesson_ja_l10_d1,うん。だから絶対失敗する。,Yeah. So I’m definitely going to mess it up.,,
lesson_ja_l10_d2,そういう問題じゃないでしょ。,"That’s not really the issue, is it.",,
lesson_ja_l10_d3,理由は最後に言うよ。,I’ll tell you why at the end.,,
lesson_ja_l11_0,名前、ここに書いて。,Write your name here.,,
lesson_ja_l11_1,今日はちょっと無理かな。,"Today’s a bit of a no, I reckon.",,
lesson_ja_l11_2,普通に美味しいよ。,It’s honestly pretty good.,,
lesson_ja_l11_3,まだ覚えてる？,Do you still remember?,,
lesson_ja_l11_v0,書く,to write,,
lesson_ja_l11_v1,取る,"to take, to pick up",,
lesson_ja_l11_v2,高い,tall; expensive,,
lesson_ja_l11_v3,もちろん,of course,,
lesson_ja_l11_v4,入れる,to put in,,
lesson_ja_l11_v5,体,a body,,
lesson_ja_l11_v6,答える,to answer,,
lesson_ja_l11_v7,そのまま,"as it is, unchanged",,
lesson_ja_l11_v8,覚える,"to learn, to memorise",,
lesson_ja_l11_v9,あり,there is; fair enough,,
lesson_ja_l11_v10,無理,impossible; not on,,
lesson_ja_l11_v11,ご,"polite prefix — ご飯, ご両親",,
lesson_ja_l11_v12,残る,"to be left over, to remain",,
lesson_ja_l11_v13,長い,long,,
lesson_ja_l11_v14,普通,"normal, ordinary",,
lesson_ja_l11_v15,どういう,what sort of,,
lesson_ja_l11_v16,守る,to protect; to keep (a promise),,
lesson_ja_l11_v17,とても,very,,
lesson_ja_l11_d0,これ、全部覚えるの？無理だよ。,We have to memorise all this? No chance.,,
lesson_ja_l11_d1,普通はもっと長いらしいけど。,"Apparently it’s usually longer, mind.",,
lesson_ja_l11_d2,とても信じられない。,I can’t believe that at all.,,
lesson_ja_l11_d3,もちろん、そのまま書いてもいいよ。,"You can just copy it out, obviously.",,
lesson_ja_l12_0,夜、走るのが楽しい。,I enjoy running at night.,,
lesson_ja_l12_1,別に、何もないよ。,Nothing. It’s fine.,,
lesson_ja_l12_2,何か飲む？,Want something to drink?,,
lesson_ja_l12_3,それ、ちょっと困るんだけど。,"That’s a bit awkward for me, actually.",,
lesson_ja_l12_v0,楽しい,"fun, enjoyable",,
lesson_ja_l12_v1,どこか,somewhere,,
lesson_ja_l12_v2,夜,"night, evening",,
lesson_ja_l12_v3,感じ,"a feeling, an impression",,
lesson_ja_l12_v4,気,"spirit, mind — 気になる, 気をつける",,
lesson_ja_l12_v5,許す,to forgive; to allow,,
lesson_ja_l12_v6,もし,"if, supposing",,
lesson_ja_l12_v7,驚く,to be surprised,,
lesson_ja_l12_v8,別に,not particularly; nothing,,
lesson_ja_l12_v9,離れる,"to move away, to be apart",,
lesson_ja_l12_v10,いつ,when,,
lesson_ja_l12_v11,消える,"to go out, to vanish",,
lesson_ja_l12_v12,助ける,"to help, to rescue",,
lesson_ja_l12_v13,止める,"to stop (something), to park",,
lesson_ja_l12_v14,困る,"to be stuck, to be in trouble",,
lesson_ja_l12_v15,かかる,"to take (time, money)",,
lesson_ja_l12_v16,飲む,to drink,,
lesson_ja_l12_v17,走る,to run,,
lesson_ja_l12_d0,どうしたの？困ってる感じだけど。,What’s up? You look like you’re stuck.,,
lesson_ja_l12_d1,別に。ちょっと時間かかってるだけ。,Nothing. It’s just taking a while.,,
lesson_ja_l12_d2,助けようか？,Want a hand?,,
lesson_ja_l12_d3,いいの？助かる、ほんとに。,Yeah? That’d be a real help.,,
lesson_ja_l13_0,それ以外は何もない。,There’s nothing apart from that.,,
lesson_ja_l13_1,あんまり好きじゃない。,I don’t really like it.,,
lesson_ja_l13_2,電気つけてくれる？,Can you put the light on?,,
lesson_ja_l13_3,まだ決めてないんだ。,I haven’t decided yet.,,
lesson_ja_l13_v0,以外,"apart from, other than",,
lesson_ja_l13_v1,下,"under, below",,
lesson_ja_l13_v2,買う,to buy,,
lesson_ja_l13_v3,足,"leg, foot",,
lesson_ja_l13_v4,説明,an explanation,,
lesson_ja_l13_v5,読む,to read,,
lesson_ja_l13_v6,女性,"a woman, female",,
lesson_ja_l13_v7,落ちる,"to fall, to drop",,
lesson_ja_l13_v8,つける,to turn on; to attach,,
lesson_ja_l13_v9,起きる,to get up; to happen,,
lesson_ja_l13_v10,あまり,not much — with a negative,,
lesson_ja_l13_v11,ことができる,to be able to,,
lesson_ja_l13_v12,続く,to continue (by itself),,
lesson_ja_l13_v13,すぐ,straight away,,
lesson_ja_l13_v14,決める,to decide,,
lesson_ja_l13_v15,でもない,it’s not even,,
lesson_ja_l13_v16,状況,the situation,,
lesson_ja_l13_v17,関係,"a relationship, a connection",,
lesson_ja_l13_d0,今日、何時に起きた？,What time did you get up today?,,
lesson_ja_l13_d1,遅い。あまり寝てないんだ。,Late. I didn’t sleep much.,,
lesson_ja_l13_d2,それ以外は？何か買った？,Apart from that? Did you buy anything?,,
lesson_ja_l13_d3,まだ決めてない。説明読んでから。,Haven’t decided. After I read the description.,,
lesson_ja_l14_0,日本、行ったことある？,Have you ever been to Japan?,,
lesson_ja_l14_1,これがほしかったんだ。,This is what I wanted.,,
lesson_ja_l14_2,先に行ってて。,Go on ahead.,,
lesson_ja_l14_3,なぜか見つからない。,For some reason I can’t find it.,,
lesson_ja_l14_v0,ことがある,to have done before,,
lesson_ja_l14_v1,いただく,to receive (humble),,
lesson_ja_l14_v2,先,ahead; earlier; the tip,,
lesson_ja_l14_v3,伝える,"to pass on, to tell",,
lesson_ja_l14_v4,ようになる,to come to be able to,,
lesson_ja_l14_v5,先に,"first, ahead of others",,
lesson_ja_l14_v6,夢,a dream,,
lesson_ja_l14_v7,小さい,small,,
lesson_ja_l14_v8,選ぶ,to choose,,
lesson_ja_l14_v9,こういう,this sort of,,
lesson_ja_l14_v10,理解,understanding,,
lesson_ja_l14_v11,場合,"a case, a situation",,
lesson_ja_l14_v12,得る,"to gain, to obtain",,
lesson_ja_l14_v13,深い,deep,,
lesson_ja_l14_v14,見つける,to find,,
lesson_ja_l14_v15,一度,"once, one time",,
lesson_ja_l14_v16,ほしい,to want (a thing),,
lesson_ja_l14_v17,なぜ,why,,
lesson_ja_l14_d0,ここ、来たことある？,Have you ever been here?,,
lesson_ja_l14_d1,一度だけ。先に入ってて。,Once. Go on in ahead of me.,,
lesson_ja_l14_d2,何かほしいものある？,Anything you want?,,
lesson_ja_l14_d3,選ぶの苦手なんだよね。,"I’m rubbish at choosing, me.",,
lesson_ja_l15_0,水、一本買ってくる。,I’ll go and get a bottle of water.,,
lesson_ja_l15_1,昔はここに住んでた。,I used to live here.,,
lesson_ja_l15_2,駅まで送ろうか？,Shall I walk you to the station?,,
lesson_ja_l15_3,思ったより簡単だった。,It was easier than I thought.,,
lesson_ja_l15_v0,昔,"the old days, long ago",,
lesson_ja_l15_v1,水,water (cold),,
lesson_ja_l15_v2,近く,"nearby, the vicinity",,
lesson_ja_l15_v3,進む,"to advance, to make progress",,
lesson_ja_l15_v4,大変,"tough, a real handful",,
lesson_ja_l15_v5,道,"a road, a way",,
lesson_ja_l15_v6,簡単,"simple, easy",,
lesson_ja_l15_v7,変える,to change (something),,
lesson_ja_l15_v8,別,"separate, another",,
lesson_ja_l15_v9,なので,"so, therefore",,
lesson_ja_l15_v10,本,a book,,
lesson_ja_l15_v11,完全,"complete, perfect",,
lesson_ja_l15_v12,状態,"a state, a condition",,
lesson_ja_l15_v13,しっかり,"firmly, properly",,
lesson_ja_l15_v14,行う,"to carry out, to conduct",,
lesson_ja_l15_v15,送る,to send; to see someone off,,
lesson_ja_l15_v16,形,"a shape, a form",,
lesson_ja_l15_v17,近づく,to draw near,,
lesson_ja_l15_d0,この道、昔とだいぶ変わったな。,This road’s changed a lot from how it was.,,
lesson_ja_l15_d1,近くに新しいの、できたしね。,"There’s a new one nearby now, too.",,
lesson_ja_l15_d2,こっちのほうが簡単に進む。,You get on faster this way.,,
lesson_ja_l15_d3,大変じゃなくてよかった。,Glad it wasn’t a hassle.,,
lesson_ja_l16_0,最近どう？,How’ve you been lately?,,
lesson_ja_l16_1,次のバスに乗る。,I’ll get the next bus.,,
lesson_ja_l16_2,勝手に決めないでよ。,Don’t just decide without me.,,
lesson_ja_l16_3,朝、準備しとくね。,I’ll get things ready in the morning.,,
lesson_ja_l16_v0,乗る,"to get on, to ride",,
lesson_ja_l16_v1,与える,"to give, to grant",,
lesson_ja_l16_v2,勝手,as one pleases; selfish,,
lesson_ja_l16_v3,的,"-ish, -al — makes an adjective",,
lesson_ja_l16_v4,結果,a result,,
lesson_ja_l16_v5,朝,morning,,
lesson_ja_l16_v6,新しい,new,,
lesson_ja_l16_v7,急,sudden; urgent,,
lesson_ja_l16_v8,ようにする,to make a point of doing,,
lesson_ja_l16_v9,元,the origin; former,,
lesson_ja_l16_v10,最近,"recently, lately",,
lesson_ja_l16_v11,大,"big — as a prefix, 大好き",,
lesson_ja_l16_v12,決まる,to be decided,,
lesson_ja_l16_v13,準備,preparation,,
lesson_ja_l16_v14,近い,"near, close",,
lesson_ja_l16_v15,失う,to lose,,
lesson_ja_l16_v16,不安,"unease, anxiety",,
lesson_ja_l16_v17,残す,to leave behind (deliberately),,
lesson_ja_l16_d0,最近、朝早いね。,You’ve been up early lately.,,
lesson_ja_l16_d1,新しいバスに乗るようにしてる。,I’ve been making a point of getting the new bus.,,
lesson_ja_l16_d2,準備、間に合ってる？,Are you keeping on top of the prep?,,
lesson_ja_l16_d3,結果は見てのお楽しみ。,You’ll see the result soon enough.,,
lesson_ja_l17_0,それ、大事なことだよ。,That’s an important thing.,,
lesson_ja_l17_1,お母さんに似てるね。,You look like your mum.,,
lesson_ja_l17_2,特に問題ないよ。,No problem in particular.,,
lesson_ja_l17_3,まず、これから始めよう。,Let’s start with this first.,,
lesson_ja_l17_v0,安心,"relief, peace of mind",,
lesson_ja_l17_v1,大事,"important, precious",,
lesson_ja_l17_v2,ほとんど,almost all; hardly (with neg),,
lesson_ja_l17_v3,認める,"to acknowledge, to admit",,
lesson_ja_l17_v4,特に,"especially, in particular",,
lesson_ja_l17_v5,求める,"to seek, to ask for",,
lesson_ja_l17_v6,用意,"preparation, getting ready",,
lesson_ja_l17_v7,少ない,"few, not much",,
lesson_ja_l17_v8,まず,first of all,,
lesson_ja_l17_v9,ことにする,to decide to,,
lesson_ja_l17_v10,始まる,to begin (by itself),,
lesson_ja_l17_v11,家族,family,,
lesson_ja_l17_v12,似る,to resemble,,
lesson_ja_l17_v13,用,"business, an errand",,
lesson_ja_l17_v14,元気,"well, in good spirits",,
lesson_ja_l17_v15,後,after — as in 後で,,
lesson_ja_l17_v16,生む,to give birth to; to produce,,
lesson_ja_l17_v17,思い,"a thought, a feeling",,
lesson_ja_l17_d0,家族、元気にしてる？,Is your family keeping well?,,
lesson_ja_l17_d1,うん、みんな元気。安心して。,"Yeah, all fine. Don’t you worry.",,
lesson_ja_l17_d2,特に何もなかった？,Nothing in particular happened?,,
lesson_ja_l17_d3,ほとんどいつも通りだよ。,Pretty much business as usual.,,
lesson_ja_l18_0,なかなか来ないね。,"They’re taking their time, aren’t they.",,
lesson_ja_l18_1,もう行かなきゃ。,I’ve got to go.,,
lesson_ja_l18_2,ちょっと調べてみる。,I’ll have a look into it.,,
lesson_ja_l18_3,急がなくていいよ。,There’s no rush.,,
lesson_ja_l18_v0,なかなか,quite; not easily (with neg),,
lesson_ja_l18_v1,たくさん,"a lot, plenty",,
lesson_ja_l18_v2,目的,"a purpose, an aim",,
lesson_ja_l18_v3,合う,"to fit, to match, to suit",,
lesson_ja_l18_v4,生活,"daily life, living",,
lesson_ja_l18_v5,方法,"a method, a way",,
lesson_ja_l18_v6,なくなる,to run out; to be gone,,
lesson_ja_l18_v7,切る,to cut; to hang up,,
lesson_ja_l18_v8,分,"a portion, a share",,
lesson_ja_l18_v9,つく,to arrive; to stick; to switch on,,
lesson_ja_l18_v10,十分,"enough, sufficient",,
lesson_ja_l18_v11,働く,to work,,
lesson_ja_l18_v12,若い,young,,
lesson_ja_l18_v13,歳,years old — counter for age,,
lesson_ja_l18_v14,調べる,"to look up, to check",,
lesson_ja_l18_v15,急ぐ,to hurry,,
lesson_ja_l18_v16,必ず,"without fail, definitely",,
lesson_ja_l18_v17,途中,"partway, on the way",,
lesson_ja_l18_d0,急がなくていいよ。時間はたくさんある。,No need to rush. There’s plenty of time.,,
lesson_ja_l18_d1,でも、なかなか終わらないんだ。,"It’s just not finishing, though.",,
lesson_ja_l18_d2,途中でやめてもいいって。,"You can stop halfway, you know.",,
